Artist Name,Spotify ID,Spotify URL,Market
Reble,3MsxNLVtDVGxjEaxgKAoi0,https://open.spotify.com/artist/3MsxNLVtDVGxjEaxgKAoi0,IN
Malayalam,66F3XGkzlB7nINAPo211f3,https://open.spotify.com/artist/66F3XGkzlB7nINAPo211f3,IN
Kalabhavan Mani,2pB05naIt3eCAIIxrZaAEA,https://open.spotify.com/artist/2pB05naIt3eCAIIxrZaAEA,IN
Lil PAYYAN,0HiSpiBBENQAo0BJX5u4ic,https://open.spotify.com/artist/0HiSpiBBENQAo0BJX5u4ic,IN
Dulquer Salmaan,3NHwwyb1coYa5cLyI72xSk,https://open.spotify.com/artist/3NHwwyb1coYa5cLyI72xSk,IN
BABY JEAN,3vhYECLQUeZVovqKwA5E0b,https://open.spotify.com/artist/3vhYECLQUeZVovqKwA5E0b,IN
Sithara Krishnakumar,6fvMFyB3RMPEyKyLJAS79c,https://open.spotify.com/artist/6fvMFyB3RMPEyKyLJAS79c,IN
Sachin Warrier,7wkeZcQtvDAeGvrTQO2hfK,https://open.spotify.com/artist/7wkeZcQtvDAeGvrTQO2hfK,IN
M. Jayachandran,67ra8R8hw9NkDyBaJBS2j6,https://open.spotify.com/artist/67ra8R8hw9NkDyBaJBS2j6,IN
Bibin Ashok,2r4835RasDrA3mvrZqYv1S,https://open.spotify.com/artist/2r4835RasDrA3mvrZqYv1S,IN
Rafeeq Ahamed,0XeydqmCIhwtjgY4NA8821,https://open.spotify.com/artist/0XeydqmCIhwtjgY4NA8821,IN
FIFTY4,1NApv6DzDP19uLuxJ0CuuP,https://open.spotify.com/artist/1NApv6DzDP19uLuxJ0CuuP,IN
Rahul Dit-O,1wYqqLCZJQ3ZMfKUGgZQoe,https://open.spotify.com/artist/1wYqqLCZJQ3ZMfKUGgZQoe,IN
Sanjith Hegde,1plObTufEAfeL1hk8Qz24v,https://open.spotify.com/artist/1plObTufEAfeL1hk8Qz24v,IN
Raghu Dixit,72578usTM6Cj5qWsi471Nc,https://open.spotify.com/artist/72578usTM6Cj5qWsi471Nc,IN
Arjun Janya,3IX32wm6CoEIYovZ0VcjBJ,https://open.spotify.com/artist/3IX32wm6CoEIYovZ0VcjBJ,IN
Sonu Nigam,1dVygo6tRFXC8CSWURQJq2,https://open.spotify.com/artist/1dVygo6tRFXC8CSWURQJq2,IN
S. Janaki,5Xpg6PBSUOoho2lI9qLjiu,https://open.spotify.com/artist/5Xpg6PBSUOoho2lI9qLjiu,IN
V. Harikrishna,2zPbgeprcP9vP4hbb0xQUX,https://open.spotify.com/artist/2zPbgeprcP9vP4hbb0xQUX,IN
All Ok,2wQP7peRciPJyvzDDmroBV,https://open.spotify.com/artist/2wQP7peRciPJyvzDDmroBV,IN
Pramod Maravanthe,2Rb3KxyRqgU3Wa8hGQaIIr,https://open.spotify.com/artist/2Rb3KxyRqgU3Wa8hGQaIIr,IN
C. Ashwath,6XFS5akkEopdq78TxOCCVI,https://open.spotify.com/artist/6XFS5akkEopdq78TxOCCVI,IN
Anup Bhandari,0YgygYV4bW2zwReIPqNJwL,https://open.spotify.com/artist/0YgygYV4bW2zwReIPqNJwL,IN
Chi. Udayashankar,2pj2M5Ev8R8MfO3I6Em9WL,https://open.spotify.com/artist/2pj2M5Ev8R8MfO3I6Em9WL,IN
Anthony Daasan,1lDx24tVvy8JVKOVjnlJfv,https://open.spotify.com/artist/1lDx24tVvy8JVKOVjnlJfv,IN
Naveen Madhav,3oVTCMgAvt1x7EogVtX40H,https://open.spotify.com/artist/3oVTCMgAvt1x7EogVtX40H,IN
Raj-Koti,78eKGjMa7yG0HpHyo8W3kA,https://open.spotify.com/artist/78eKGjMa7yG0HpHyo8W3kA,IN
Hamsika Iyer,35jsUTwBj5cW9GuNB7Xp61,https://open.spotify.com/artist/35jsUTwBj5cW9GuNB7Xp61,IN
Jayant Kaikini,5p4VpAZm4FEyAeNDELFAMB,https://open.spotify.com/artist/5p4VpAZm4FEyAeNDELFAMB,IN
SAMBATA,3Il6TyOnML9fMSCyDMbUCO,https://open.spotify.com/artist/3Il6TyOnML9fMSCyDMbUCO,IN
Sanju Rathod,4B9efXsA6sv4w3vts8E0T7,https://open.spotify.com/artist/4B9efXsA6sv4w3vts8E0T7,IN
Lata Mangeshkar,61JrslREXq98hurYL2hYoc,https://open.spotify.com/artist/61JrslREXq98hurYL2hYoc,IN
Asha Bhosle,5as8A4G47Ohu9NSWs3Je8U,https://open.spotify.com/artist/5as8A4G47Ohu9NSWs3Je8U,IN
